MES,POSICION_DIA,HORA_DEL_DIA,HORARIO_TURNO_CATEGORICA,ID_UBICACION_ORIGEN,LATITUD_ORIGEN,LONGITUD_ORIGEN,ID_UBICACION_DESTINO,LATITUD_DESTINO,LONGITUD_DESTINO,TIEMPO_MOVILIZACION,MINUTOS_EN_ESTACION,SERVICE_ID,MINUTOS_EN_ACTIVIDAD,MINUTOS_ALISTAMIENTO,USUARIO_ID,CLUSTER
10,4,20,2,71,3.48842810553395,-76.4937511450849,20,3.48890402204464,-76.5078521568375,10,55,8373,0,49,2,4
10,5,15,2,43,3.4320953203622,-76.5101182138973,69,3.45297491831844,-76.5313634424706,23,100,6135,17,0,2,3
10,5,15,2,43,3.4320953203622,-76.5101182138973,69,3.45297491831844,-76.5313634424706,23,100,6137,12,21,2,3
10,6,19,2,24,3.45241065631123,-76.5312831579744,24,3.45241065631123,-76.5312831579744,0,12,6137,1,0,2,3
10,6,19,2,24,3.45241065631123,-76.5312831579744,24,3.45241065631123,-76.5312831579744,0,12,6138,8,1,2,3
10,6,19,2,24,3.45241065631123,-76.5312831579744,24,3.45241065631123,-76.5312831579744,0,12,6135,0,11,2,3
10,6,20,2,24,3.45241065631123,-76.5312831579744,69,3.45297491831844,-76.5313634424706,10,4,6135,1,0,2,3
10,6,20,2,24,3.45241065631123,-76.5312831579744,69,3.45297491831844,-76.5313634424706,10,4,6138,0,2,2,3
10,6,20,2,24,3.45241065631123,-76.5312831579744,69,3.45297491831844,-76.5313634424706,10,4,6135,1,0,2,3
10,6,20,2,24,3.45241065631123,-76.5312831579744,69,3.45297491831844,-76.5313634424706,10,4,6138,0,2,2,3
10,6,20,2,24,3.45241065631123,-76.5312831579744,69,3.45297491831844,-76.5313634424706,10,4,6135,1,0,2,3
10,6,20,2,24,3.45241065631123,-76.5312831579744,69,3.45297491831844,-76.5313634424706,10,4,6138,0,2,2,3
10,6,20,2,69,3.45297491831844,-76.5313634424706,33,3.45845536723969,-76.5258124840125,14,13,6135,12,0,2,3
10,6,20,2,69,3.45297491831844,-76.5313634424706,33,3.45845536723969,-76.5258124840125,14,13,6135,12,0,2,3
11,2,16,2,38,3.42464409173821,-76.4942797697259,15,3.44524469691041,-76.5148320438954,13,33,6137,0,16,2,3
11,2,16,2,38,3.42464409173821,-76.4942797697259,15,3.44524469691041,-76.5148320438954,13,33,6135,14,0,2,3
11,2,16,2,38,3.42464409173821,-76.4942797697259,15,3.44524469691041,-76.5148320438954,13,33,6135,0,15,2,3
11,2,17,2,32,3.44210427482807,-76.5329592237468,36,3.44506799102323,-76.4875814710183,17,21,6135,5,14,2,0
11,2,17,2,32,3.44210427482807,-76.5329592237468,36,3.44506799102323,-76.4875814710183,17,21,6135,3,10,2,0
11,2,17,2,32,3.44210427482807,-76.5329592237468,36,3.44506799102323,-76.4875814710183,17,21,6135,8,1,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,4,60,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,0,57,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,42,15,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6137,0,65,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6138,13,1,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,4,60,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,0,57,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,42,15,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6137,0,65,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6138,13,1,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,4,60,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,0,57,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6135,42,15,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6137,0,65,2,0
11,2,18,2,36,3.44506799102323,-76.4875814710183,65,3.44332180671126,-76.4839397169372,7,90,6138,13,1,2,0
11,2,20,2,32,3.44210427482807,-76.5329592237468,76,3.44329493503902,-76.5261648326476,3,6,6137,0,5,2,3
11,2,20,2,32,3.44210427482807,-76.5329592237468,76,3.44329493503902,-76.5261648326476,3,6,6135,4,1,2,3
11,2,20,2,76,3.44329493503902,-76.5261648326476,65,3.44332180671126,-76.4839397169372,13,17,6138,9,5,2,0
11,2,20,2,76,3.44329493503902,-76.5261648326476,65,3.44332180671126,-76.4839397169372,13,17,6135,0,15,2,0
11,2,20,2,76,3.44329493503902,-76.5261648326476,65,3.44332180671126,-76.4839397169372,13,17,6135,0,14,2,0
11,2,20,2,76,3.44329493503902,-76.5261648326476,65,3.44332180671126,-76.4839397169372,13,17,6135,0,16,2,0
