,MINUTOS_EN_ESTACION,TIEMPO_MOVILIZACION,USUARIO_ID,SERVICE_ID,LATITUD_DESTINO,LONGITUD_DESTINO
28832,24,7,20,6135,3.36714761458388,-76.52949647924
28833,24,7,20,6135,3.36714761458388,-76.52949647924
28834,24,7,20,6135,3.36714761458388,-76.52949647924
28835,24,7,20,6135,3.36714761458388,-76.52949647924
28836,10,12,20,6138,3.39652709064599,-76.5241494534741
28837,10,12,20,6135,3.39652709064599,-76.5241494534741
28838,10,12,20,6138,3.39652709064599,-76.5241494534741
28839,10,12,20,6138,3.39652709064599,-76.5241494534741
28840,10,12,20,6135,3.39652709064599,-76.5241494534741
28841,10,12,20,6138,3.39652709064599,-76.5241494534741
28842,9,25,20,6137,3.41840956522489,-76.5482712818292
28843,9,25,20,6135,3.41840956522489,-76.5482712818292
28844,9,25,20,6137,3.41840956522489,-76.5482712818292
28845,52,22,20,8369,3.37095244638537,-76.5369932534761
28846,52,22,20,8373,3.37095244638537,-76.5369932534761
28847,52,22,20,8369,3.37095244638537,-76.5369932534761
28848,52,22,20,8369,3.37095244638537,-76.5369932534761
28849,52,22,20,8369,3.37095244638537,-76.5369932534761
28850,52,22,20,8373,3.37095244638537,-76.5369932534761
28851,52,22,20,8369,3.37095244638537,-76.5369932534761
28852,52,22,20,8369,3.37095244638537,-76.5369932534761
28853,52,22,20,8369,3.37095244638537,-76.5369932534761
28854,52,22,20,8373,3.37095244638537,-76.5369932534761
28855,52,22,20,8369,3.37095244638537,-76.5369932534761
28856,52,22,20,8369,3.37095244638537,-76.5369932534761
28857,38,22,20,6137,3.43136028767383,-76.5433749225134
28858,38,22,20,6135,3.43136028767383,-76.5433749225134
28859,38,22,20,6135,3.43136028767383,-76.5433749225134
